Unnamed: 0,x-axis,y-axis,0_density_count
0,10011.566467284276,11272.663337102606,115
1,8848.577470943132,8513.383862394545,246
2,8386.798603681758,7515.904718140917,251
3,13152.12634781088,14423.977900086069,401
4,11394.349314776046,9048.865147956538,365
5,11527.259335750688,12387.68184121586,260
6,8374.826743623935,6972.176560474082,316
7,8682.464920284769,8974.308420828924,276
8,10005.498137173296,11629.105975895878,123
9,12945.47780328867,14134.184522307129,325
10,11155.312181305551,8419.800129843934,428
11,9598.254815308292,11146.420365372516,110
12,9320.816847072296,11908.052718057908,252
13,8656.215248771567,9824.539508249309,249
14,10612.882741195344,11616.430240249862,121
15,8259.794418207857,7669.265708700459,252
16,14082.949316161155,16086.91220667542,670
17,8231.774681872506,6197.402312357204,378
18,11651.728563855779,9388.614636946031,365
19,13382.377145003398,14897.902592082532,466
20,8487.160937077457,7315.005058498102,251
21,10981.514028165724,11228.473115398665,191
22,11933.279656854742,8188.683422057007,417
23,8352.310552461033,6534.457737757077,368
24,8105.182752066572,10396.740030642557,175
