X-axis,Y-axis,Timestep,Density,Fuel
9061.0864,12163.6650605502,0,0,0.0
9061.0864,12163.6650605502,1,1,1.13
9061.0864,12163.6650605502,2,1,1.57
9061.0864,12163.6650605502,3,1,2.11
9061.0864,12163.6650605502,4,1,2.76
9061.0864,12163.6650605502,5,1,2.52
9061.0864,12163.6650605502,6,1,2.89
9061.0864,12163.6650605502,7,1,3.29
9061.0864,12163.6650605502,8,1,4.15
9061.0864,12163.6650605502,9,2,5.51
9061.0864,12163.6650605502,10,1,1.31
9061.0864,12163.6650605502,11,2,3.0
9061.0864,12163.6650605502,12,2,4.19
9061.0864,12163.6650605502,13,2,4.94
9061.0864,12163.6650605502,14,2,4.64
9061.0864,12163.6650605502,15,2,4.84
9061.0864,12163.6650605502,16,3,5.08
9061.0864,12163.6650605502,17,3,8.08
9061.0864,12163.6650605502,18,3,8.03
9061.0864,12163.6650605502,19,3,8.94
9061.0864,12163.6650605502,20,3,11.05
9061.0864,12163.6650605502,21,3,11.56
9061.0864,12163.6650605502,22,3,2.5
9061.0864,12163.6650605502,23,3,5.39
9061.0864,12163.6650605502,24,3,6.35
9061.0864,12163.6650605502,25,3,6.43
9061.0864,12163.6650605502,26,2,3.24
9061.0864,12163.6650605502,27,2,3.6
9061.0864,12163.6650605502,28,2,0.0
9061.0864,12163.6650605502,29,2,2.61
9061.0864,12163.6650605502,30,2,0.94
9061.0864,12163.6650605502,31,2,5.17
9061.0864,12163.6650605502,32,2,2.25
9061.0864,12163.6650605502,33,2,2.54
9061.0864,12163.6650605502,34,3,4.56
9061.0864,12163.6650605502,35,3,8.41
9061.0864,12163.6650605502,36,3,5.61
9061.0864,12163.6650605502,37,4,3.45
9061.0864,12163.6650605502,38,4,5.1
9061.0864,12163.6650605502,39,4,6.36
9061.0864,12163.6650605502,40,4,5.04
9061.0864,12163.6650605502,41,4,4.17
9061.0864,12163.6650605502,42,4,0.97
9061.0864,12163.6650605502,43,5,5.03
9061.0864,12163.6650605502,44,5,6.75
9061.0864,12163.6650605502,45,5,5.24
9061.0864,12163.6650605502,46,5,10.02
9061.0864,12163.6650605502,47,5,10.53
9061.0864,12163.6650605502,48,5,10.43
9061.0864,12163.6650605502,49,5,10.4
9061.0864,12163.6650605502,50,5,15.07
9061.0864,12163.6650605502,51,5,17.96
