1.649524097718083112e+03,1.001156646728427586e+04,1.127266333710260369e+04
1.634849839689105829e+04,8.848577470943131630e+03,8.513383862394544849e+03
2.342196755059536372e+04,8.386798603681760142e+03,7.515904718140916884e+03
1.325614205112034324e+04,1.315212634781088127e+04,1.442397790008607080e+04
8.188147736822123989e+03,1.139434931477604368e+04,9.048865147956537839e+03
2.190949366191405716e+04,1.152725933575068666e+04,1.238768184121586091e+04
5.838254148075503508e+03,8.374826743623934817e+03,6.972176560474082180e+03
1.214416183233238371e+04,8.682464920284768596e+03,8.974308420828923772e+03
1.017286316748366880e+04,1.000549813717329744e+04,1.162910597589587815e+04
7.837513097406315865e+03,1.294547780328866975e+04,1.413418452230712683e+04
3.295643823290769888e+03,1.115531218130555135e+04,8.419800129843933973e+03
2.373057835416530725e+04,9.598254815308289835e+03,1.114642036537251806e+04
1.473036960451404775e+04,9.320816847072295786e+03,1.190805271805790653e+04
2.017476154026142103e+04,8.656215248771566621e+03,9.824539508249306891e+03
5.108251266165792003e+03,1.061288274119534435e+04,1.161643024024986153e+04
1.910043097116318904e+03,8.259794418207857234e+03,7.669265708700459982e+03
2.072317951266052842e+04,1.408294931616115355e+04,1.608691220667541893e+04
1.386610899253051139e+04,8.231774681872506335e+03,6.197402312357204210e+03
1.377853213876630980e+04,1.165172856385577870e+04,9.388614636946029350e+03
2.681477502065755743e+03,1.338237714500339825e+04,1.489790259208253156e+04
9.510146408611530205e+03,8.487160937077456765e+03,7.315005058498101789e+03
1.797822218442513622e+04,1.098151402816572408e+04,1.122847311539866496e+04
2.207949756646981768e+04,1.193327965685474192e+04,8.188683422057007192e+03
1.918596229556655453e+04,8.352310552461032785e+03,6.534457737757076757e+03
6.362107816108573388e+03,8.105182752066571993e+03,1.039674003064255703e+04
